mark,title,price,price_adjusted,link,addr,社區,車位費,管理費,poster,養寵物,提供設備,格局,坪數,樓層,型態,id,fetched,desc
,採光一級棒物超所值,4500,4500,https://rent.591.com.tw/rent-detail-11698273.html,北區北安路一段12號,,,無,屋主: 吳太太,No,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 第四台, 網路, 桌椅, 1陽台",1房1衛,10坪,4F/5F,公寓,11698273,2021-11-28,"入主單純優質房客
附近有便利商店、傳統市場、公園綠地、醫療機構、學校、夜市。"
,東區富農街獨立套房,5000,5000,https://rent.591.com.tw/rent-detail-11636314.html,東區富農街二段43巷,,,,仲介: 莊先生 (收服務費),No,"洗衣機, 冷氣, 熱水器, 衣櫃, 1陽台",1房1衛,6坪,3F/5F,公寓,11636314,2021-11-28,"台水---台電--獨立.附機車位
附近有便利商店、傳統市場、百貨公司、公園綠地、學校、醫療機構、夜市。"
,延平市場超大雅房~全新床組、冷氣全新~,6000,6000,https://rent.591.com.tw/rent-detail-11764053.html,北區公園路,,,無,仲介: 陳小姐 (收服務費),No,"冰箱, 洗衣機, 冷氣, 熱水器, 床, 衣櫃, 網路, 桌椅, 1陽台",1房1廳1衛,10坪,3F/4F,透天厝,11764053,2021-11-28,1.超大雅房、通風採光良好，出入方便。2.二樓大廚房可使用。3.全新床組、衣櫥、桌椅，網速100m4.地點絕佳、居住安全無慮。5.歡迎合法居住、單純入住。 ~~歡迎小貓兩隻內，需自備洗衣機喔~~
,雙城計畫旁全新裝潢套房,6500,7100,https://rent.591.com.tw/rent-detail-11716266.html,中西區保安路,,,600元/月,代理人: 陳小姐,No,"冷氣, 熱水器, 衣櫃, 電梯",1房1衛,5坪,5F/7F,電梯大樓,11716266,2021-11-28,"暫未添加說明
附近有便利商店、傳統市場、百貨公司、公園綠地、學校、醫療機構、夜市。"
,台南市安平區近市政府，2房1衛1浴,6500,6500,https://rent.591.com.tw/rent-detail-11690211.html,安平區永華三街82號,,,無,屋主: 柯女士,No,"冰箱, 洗衣機, 冷氣, 熱水器, 床, 第四台, 網路, 1陽台",2房1廳1衛,25坪,4F/6F,透天厝,11690211,2021-11-28,"1.位於安平區近台南市政府2.2房1衛1浴1陽台，有冷氣3.禁祭祀4.無車庫5.限女性
附近有便利商店、公園綠地、學校。"
